cod_cliente,churn_real,churn_predito,probabilidade_churn,diagnostico
7853,1,1,0.9215210455395206,Verdadeiro Positivo (Acertou Churn)
45413,0,0,0.004077165511196269,Verdadeiro Negativo (Acertou Ativo)
18047,1,1,0.96955086629437,Verdadeiro Positivo (Acertou Churn)
18474,1,1,0.9317732974063472,Verdadeiro Positivo (Acertou Churn)
18315,1,1,0.9694204863757239,Verdadeiro Positivo (Acertou Churn)
45569,1,1,0.7132656761961084,Verdadeiro Positivo (Acertou Churn)
21200,1,1,0.5848926214746835,Verdadeiro Positivo (Acertou Churn)
11947,1,1,0.9523719127756702,Verdadeiro Positivo (Acertou Churn)
45919,0,0,4.280434270809967e-07,Verdadeiro Negativo (Acertou Ativo)
45802,1,1,0.5987831729287246,Verdadeiro Positivo (Acertou Churn)
16872,1,1,0.8545991228011972,Verdadeiro Positivo (Acertou Churn)
46025,0,1,0.6447442868071938,Falso Positivo (Alarme Falso)
17674,0,0,3.129356979231121e-09,Verdadeiro Negativo (Acertou Ativo)
10758,1,1,0.6050189061216011,Verdadeiro Positivo (Acertou Churn)
38649,1,0,0.26626305566749653,Falso Negativo (Churn Invisível)
42122,1,1,0.8549822336827373,Verdadeiro Positivo (Acertou Churn)
39297,1,1,0.5567885716939277,Verdadeiro Positivo (Acertou Churn)
37695,1,1,0.9997617741124634,Verdadeiro Positivo (Acertou Churn)
42671,1,1,0.6326565249411068,Verdadeiro Positivo (Acertou Churn)
22089,1,1,0.9485638587651553,Verdadeiro Positivo (Acertou Churn)
37877,1,1,0.8894040538295259,Verdadeiro Positivo (Acertou Churn)
43626,1,1,0.8640627241927809,Verdadeiro Positivo (Acertou Churn)
38966,1,1,0.8424462178765497,Verdadeiro Positivo (Acertou Churn)
13039,1,1,0.9439868202404349,Verdadeiro Positivo (Acertou Churn)
38514,1,1,0.8957720892362834,Verdadeiro Positivo (Acertou Churn)
43039,1,1,0.629978629067338,Verdadeiro Positivo (Acertou Churn)
39196,1,1,0.9273839908082744,Verdadeiro Positivo (Acertou Churn)
45573,1,1,0.7540218652804581,Verdadeiro Positivo (Acertou Churn)
45652,0,0,0.43996283466823,Verdadeiro Negativo (Acertou Ativo)
12134,1,1,0.8100600265929264,Verdadeiro Positivo (Acertou Churn)
36353,1,1,0.9027795477957018,Verdadeiro Positivo (Acertou Churn)
43615,0,0,0.0017770086484976571,Verdadeiro Negativo (Acertou Ativo)
8979,1,1,0.9506911103930006,Verdadeiro Positivo (Acertou Churn)
8481,1,1,0.6685020648869304,Verdadeiro Positivo (Acertou Churn)
27447,0,1,0.6750606219000642,Falso Positivo (Alarme Falso)
125,0,0,1.432428727403478e-23,Verdadeiro Negativo (Acertou Ativo)
46517,0,0,0.024279725440890576,Verdadeiro Negativo (Acertou Ativo)
46177,1,1,0.7348425258529209,Verdadeiro Positivo (Acertou Churn)
41888,1,0,0.23250519905331354,Falso Negativo (Churn Invisível)
46636,1,1,0.7179265787815019,Verdadeiro Positivo (Acertou Churn)
26916,1,1,0.9401047060467996,Verdadeiro Positivo (Acertou Churn)
46347,0,0,0.12438887952150825,Verdadeiro Negativo (Acertou Ativo)
39666,0,0,0.1519361383820531,Verdadeiro Negativo (Acertou Ativo)
21226,0,1,0.6871893174283472,Falso Positivo (Alarme Falso)
36234,1,1,0.8350327657186413,Verdadeiro Positivo (Acertou Churn)
45920,1,1,0.643369637996761,Verdadeiro Positivo (Acertou Churn)
39316,1,1,0.7063546330935548,Verdadeiro Positivo (Acertou Churn)
43300,1,1,0.6067123934718837,Verdadeiro Positivo (Acertou Churn)
11391,1,1,0.5667832741869748,Verdadeiro Positivo (Acertou Churn)
13992,1,1,0.928475839117686,Verdadeiro Positivo (Acertou Churn)
25132,1,1,0.9028012807286298,Verdadeiro Positivo (Acertou Churn)
39615,1,1,0.9005852651320597,Verdadeiro Positivo (Acertou Churn)
22402,1,1,0.9660382909666202,Verdadeiro Positivo (Acertou Churn)
46221,0,1,0.696708911552148,Falso Positivo (Alarme Falso)
38137,1,1,0.8960542179764481,Verdadeiro Positivo (Acertou Churn)
44429,1,1,0.8052121417669151,Verdadeiro Positivo (Acertou Churn)
27053,1,1,0.7125860450330342,Verdadeiro Positivo (Acertou Churn)
43986,1,1,0.7310441081607154,Verdadeiro Positivo (Acertou Churn)
46452,0,0,3.072682548314563e-39,Verdadeiro Negativo (Acertou Ativo)
17731,0,1,0.7924899551083991,Falso Positivo (Alarme Falso)
20161,1,1,0.9685488258240611,Verdadeiro Positivo (Acertou Churn)
28174,1,1,0.8471970693718638,Verdadeiro Positivo (Acertou Churn)
45862,1,1,0.6620946418859184,Verdadeiro Positivo (Acertou Churn)
39611,0,1,0.6094654905148296,Falso Positivo (Alarme Falso)
36333,1,1,0.9494834681739405,Verdadeiro Positivo (Acertou Churn)
45820,1,1,0.6893903214363597,Verdadeiro Positivo (Acertou Churn)
21624,1,1,0.8300079927453646,Verdadeiro Positivo (Acertou Churn)
45738,1,0,0.33025344059833717,Falso Negativo (Churn Invisível)
44995,1,1,0.5919205703532122,Verdadeiro Positivo (Acertou Churn)
8767,1,1,0.8900843933997846,Verdadeiro Positivo (Acertou Churn)
45234,1,1,0.5733530337570223,Verdadeiro Positivo (Acertou Churn)
18166,1,1,0.9737282834792508,Verdadeiro Positivo (Acertou Churn)
16700,1,1,0.9810438766528146,Verdadeiro Positivo (Acertou Churn)
39623,1,1,0.9222803978424442,Verdadeiro Positivo (Acertou Churn)
43937,0,0,2.6401034777370076e-08,Verdadeiro Negativo (Acertou Ativo)
46318,0,0,0.27769939650624403,Verdadeiro Negativo (Acertou Ativo)
41207,0,0,0.10073833868254625,Verdadeiro Negativo (Acertou Ativo)
13949,0,0,0.4584181951498167,Verdadeiro Negativo (Acertou Ativo)
12956,1,1,0.5676371082506654,Verdadeiro Positivo (Acertou Churn)
43807,0,0,0.0010420874309571033,Verdadeiro Negativo (Acertou Ativo)
21815,1,1,0.9163309684457492,Verdadeiro Positivo (Acertou Churn)
46356,0,0,0.030519460589821478,Verdadeiro Negativo (Acertou Ativo)
9558,0,0,0.0005221716617399805,Verdadeiro Negativo (Acertou Ativo)
24117,0,0,0.00034151673370788713,Verdadeiro Negativo (Acertou Ativo)
45856,1,1,0.5999805093328818,Verdadeiro Positivo (Acertou Churn)
45416,1,1,0.705753599054601,Verdadeiro Positivo (Acertou Churn)
8266,0,1,0.7774195648846641,Falso Positivo (Alarme Falso)
8479,1,1,0.9613419080757196,Verdadeiro Positivo (Acertou Churn)
27106,1,1,0.9029008283496589,Verdadeiro Positivo (Acertou Churn)
46534,0,1,0.6114256610662204,Falso Positivo (Alarme Falso)
17922,1,1,0.8200876151328679,Verdadeiro Positivo (Acertou Churn)
11692,0,0,2.565048948195281e-64,Verdadeiro Negativo (Acertou Ativo)
9312,1,1,0.5270861802644101,Verdadeiro Positivo (Acertou Churn)
25089,1,1,0.8748474705879484,Verdadeiro Positivo (Acertou Churn)
23942,0,0,0.13823430159320257,Verdadeiro Negativo (Acertou Ativo)
827,1,1,0.6180575895750221,Verdadeiro Positivo (Acertou Churn)
45105,1,0,0.3223945073823208,Falso Negativo (Churn Invisível)
44941,1,1,0.8283750233901817,Verdadeiro Positivo (Acertou Churn)
22152,0,0,0.014160248761728918,Verdadeiro Negativo (Acertou Ativo)
40443,1,1,0.7980178486747073,Verdadeiro Positivo (Acertou Churn)
11735,1,1,0.6127065163080676,Verdadeiro Positivo (Acertou Churn)
6893,1,1,0.7498355092480825,Verdadeiro Positivo (Acertou Churn)
38887,1,1,0.9265587491880355,Verdadeiro Positivo (Acertou Churn)
28129,1,1,0.9347476591104092,Verdadeiro Positivo (Acertou Churn)
25679,1,1,0.8619412543210792,Verdadeiro Positivo (Acertou Churn)
36931,0,1,0.8013438846095817,Falso Positivo (Alarme Falso)
42549,1,1,0.5572577268840806,Verdadeiro Positivo (Acertou Churn)
46906,0,0,0.4432235628424781,Verdadeiro Negativo (Acertou Ativo)
21525,1,1,0.7446566483613125,Verdadeiro Positivo (Acertou Churn)
36433,1,1,0.8872983136155079,Verdadeiro Positivo (Acertou Churn)
27516,1,1,0.9462387023746728,Verdadeiro Positivo (Acertou Churn)
18477,1,1,0.7489404660566756,Verdadeiro Positivo (Acertou Churn)
20207,0,0,0.0194008569493823,Verdadeiro Negativo (Acertou Ativo)
19134,1,1,0.9650928838890113,Verdadeiro Positivo (Acertou Churn)
8431,0,1,0.9383712965508704,Falso Positivo (Alarme Falso)
45117,1,1,0.7216761462835645,Verdadeiro Positivo (Acertou Churn)
42416,0,0,5.3091908093800754e-11,Verdadeiro Negativo (Acertou Ativo)
19380,1,1,0.8584734428694537,Verdadeiro Positivo (Acertou Churn)
43663,1,1,0.8871117603684359,Verdadeiro Positivo (Acertou Churn)
45148,1,1,0.721692927313202,Verdadeiro Positivo (Acertou Churn)
36469,1,1,0.938340048525429,Verdadeiro Positivo (Acertou Churn)
46615,0,1,0.6680885206129137,Falso Positivo (Alarme Falso)
14063,0,0,0.11393043747607874,Verdadeiro Negativo (Acertou Ativo)
42220,1,1,0.944691942154955,Verdadeiro Positivo (Acertou Churn)
13709,1,1,0.9414541884404265,Verdadeiro Positivo (Acertou Churn)
45328,0,0,3.769494277384363e-32,Verdadeiro Negativo (Acertou Ativo)
21469,1,1,0.9040928727895884,Verdadeiro Positivo (Acertou Churn)
45154,0,0,1.2676773726529958e-16,Verdadeiro Negativo (Acertou Ativo)
24930,1,1,0.9027088858154625,Verdadeiro Positivo (Acertou Churn)
9877,0,0,7.572201431068917e-22,Verdadeiro Negativo (Acertou Ativo)
11656,1,0,0.4381739806872823,Falso Negativo (Churn Invisível)
45204,0,0,0.10697247611164479,Verdadeiro Negativo (Acertou Ativo)
804,0,0,8.471059563980447e-20,Verdadeiro Negativo (Acertou Ativo)
42593,0,0,0.24983787469105584,Verdadeiro Negativo (Acertou Ativo)
37688,1,1,0.8523275570053482,Verdadeiro Positivo (Acertou Churn)
43450,1,1,0.9274496878805145,Verdadeiro Positivo (Acertou Churn)
23907,1,1,0.960378675975515,Verdadeiro Positivo (Acertou Churn)
12119,1,1,0.9688722693092914,Verdadeiro Positivo (Acertou Churn)
16857,1,1,0.9010139000845372,Verdadeiro Positivo (Acertou Churn)
40760,1,1,0.7593959931971671,Verdadeiro Positivo (Acertou Churn)
43205,1,1,0.8944922854752834,Verdadeiro Positivo (Acertou Churn)
11992,0,1,0.9638997610069541,Falso Positivo (Alarme Falso)
25570,1,1,0.9999999132118458,Verdadeiro Positivo (Acertou Churn)
16792,0,1,0.7179609299270014,Falso Positivo (Alarme Falso)
45382,1,1,0.7194397969851294,Verdadeiro Positivo (Acertou Churn)
44808,0,0,0.43797936562230844,Verdadeiro Negativo (Acertou Ativo)
12178,0,1,0.9723076537643112,Falso Positivo (Alarme Falso)
12245,0,0,2.8472582977500268e-09,Verdadeiro Negativo (Acertou Ativo)
42390,0,0,4.1823079892411625e-05,Verdadeiro Negativo (Acertou Ativo)
45750,0,0,4.87709103760347e-27,Verdadeiro Negativo (Acertou Ativo)
37593,0,0,0.00012874528262270138,Verdadeiro Negativo (Acertou Ativo)
6661,0,0,0.2253302628434793,Verdadeiro Negativo (Acertou Ativo)
17738,1,1,0.787548482846063,Verdadeiro Positivo (Acertou Churn)
37338,1,1,0.5434437901425478,Verdadeiro Positivo (Acertou Churn)
13987,1,1,0.9469739035653909,Verdadeiro Positivo (Acertou Churn)
43428,0,0,0.05595906091449037,Verdadeiro Negativo (Acertou Ativo)
25700,0,1,0.7988410252999733,Falso Positivo (Alarme Falso)
42106,1,1,0.9161821174898769,Verdadeiro Positivo (Acertou Churn)
46109,0,0,6.940181915455316e-11,Verdadeiro Negativo (Acertou Ativo)
23499,1,1,0.644404177178323,Verdadeiro Positivo (Acertou Churn)
46372,0,1,0.5444221793555796,Falso Positivo (Alarme Falso)
46890,0,0,1.0301882324201496e-10,Verdadeiro Negativo (Acertou Ativo)
1157,1,1,0.9097776481162949,Verdadeiro Positivo (Acertou Churn)
43348,0,1,0.6774248552572291,Falso Positivo (Alarme Falso)
46138,0,1,0.5358340526968343,Falso Positivo (Alarme Falso)
41638,1,1,0.8490607353071421,Verdadeiro Positivo (Acertou Churn)
45064,0,0,0.45960482011729137,Verdadeiro Negativo (Acertou Ativo)
43059,1,0,0.3383605704638954,Falso Negativo (Churn Invisível)
25905,0,0,0.2789792317869611,Verdadeiro Negativo (Acertou Ativo)
45535,1,0,0.42416690531185464,Falso Negativo (Churn Invisível)
45815,1,1,0.6746283304248328,Verdadeiro Positivo (Acertou Churn)
45615,0,0,0.11533753526086349,Verdadeiro Negativo (Acertou Ativo)
27020,1,1,0.8854913392623502,Verdadeiro Positivo (Acertou Churn)
46081,0,0,0.12668445398338882,Verdadeiro Negativo (Acertou Ativo)
16522,0,0,3.847873069586805e-13,Verdadeiro Negativo (Acertou Ativo)
27024,1,1,0.9180506419423644,Verdadeiro Positivo (Acertou Churn)
45814,0,1,0.9542207456981753,Falso Positivo (Alarme Falso)
13809,1,1,0.5839138405602627,Verdadeiro Positivo (Acertou Churn)
45836,1,1,0.6924833493923737,Verdadeiro Positivo (Acertou Churn)
46952,0,0,2.0640230252724562e-06,Verdadeiro Negativo (Acertou Ativo)
45347,0,0,0.01513348695859531,Verdadeiro Negativo (Acertou Ativo)
46268,0,1,0.6566769554112749,Falso Positivo (Alarme Falso)
46103,0,1,0.6551237270298351,Falso Positivo (Alarme Falso)
39323,1,1,0.7837245974242347,Verdadeiro Positivo (Acertou Churn)
22532,0,0,3.4148034803309895e-16,Verdadeiro Negativo (Acertou Ativo)
38780,1,1,0.8876518776775142,Verdadeiro Positivo (Acertou Churn)
39449,1,1,0.8039265927910918,Verdadeiro Positivo (Acertou Churn)
36668,1,1,0.5898558033445961,Verdadeiro Positivo (Acertou Churn)
27220,1,1,0.793190078017219,Verdadeiro Positivo (Acertou Churn)
45797,0,0,0.47809760445292065,Verdadeiro Negativo (Acertou Ativo)
46550,0,0,0.003470221212821144,Verdadeiro Negativo (Acertou Ativo)
35829,1,0,0.39935602445952073,Falso Negativo (Churn Invisível)
45480,1,0,0.3352218325067397,Falso Negativo (Churn Invisível)
45496,1,1,0.6353245955943305,Verdadeiro Positivo (Acertou Churn)
37438,1,1,0.8979505324392283,Verdadeiro Positivo (Acertou Churn)
45149,0,0,0.4114579857496843,Verdadeiro Negativo (Acertou Ativo)
20964,1,1,0.866344516611399,Verdadeiro Positivo (Acertou Churn)
43083,1,1,0.8760639516767846,Verdadeiro Positivo (Acertou Churn)
3688,0,0,0.3647897436477474,Verdadeiro Negativo (Acertou Ativo)
36165,1,1,0.9153490690789793,Verdadeiro Positivo (Acertou Churn)
41082,0,0,0.4254618037524341,Verdadeiro Negativo (Acertou Ativo)
691,1,1,0.5018762321269384,Verdadeiro Positivo (Acertou Churn)
44741,1,1,0.8246123440566286,Verdadeiro Positivo (Acertou Churn)
13893,0,0,1.9633366373045075e-11,Verdadeiro Negativo (Acertou Ativo)
37376,1,1,0.8972849747613859,Verdadeiro Positivo (Acertou Churn)
45724,0,0,3.27005525601601e-05,Verdadeiro Negativo (Acertou Ativo)
45636,0,0,0.08659075344281252,Verdadeiro Negativo (Acertou Ativo)
45844,0,1,0.5846315453003914,Falso Positivo (Alarme Falso)
44750,1,0,0.19499772834296508,Falso Negativo (Churn Invisível)
20261,0,0,0.030181208468576838,Verdadeiro Negativo (Acertou Ativo)
18611,0,1,0.5286309447633474,Falso Positivo (Alarme Falso)
46893,0,0,0.4417942720109583,Verdadeiro Negativo (Acertou Ativo)
45963,0,1,0.5588450368163318,Falso Positivo (Alarme Falso)
37567,1,1,0.870043118588639,Verdadeiro Positivo (Acertou Churn)
14189,1,1,0.955369439312357,Verdadeiro Positivo (Acertou Churn)
18178,0,0,0.0727234844535604,Verdadeiro Negativo (Acertou Ativo)
35954,0,1,0.8062632921128582,Falso Positivo (Alarme Falso)
38869,1,1,0.9996834135335197,Verdadeiro Positivo (Acertou Churn)
11595,1,1,0.6216908581231901,Verdadeiro Positivo (Acertou Churn)
7596,0,1,0.6328629251225278,Falso Positivo (Alarme Falso)
46080,0,0,1.0719095957785511e-07,Verdadeiro Negativo (Acertou Ativo)
12226,1,1,0.8814157281099841,Verdadeiro Positivo (Acertou Churn)
11497,0,0,0.0018140307427388879,Verdadeiro Negativo (Acertou Ativo)
45152,1,1,0.6693419463676438,Verdadeiro Positivo (Acertou Churn)
42649,1,1,0.9539576082208465,Verdadeiro Positivo (Acertou Churn)
10880,1,1,0.9060034877550369,Verdadeiro Positivo (Acertou Churn)
46026,1,1,0.6978621557472164,Verdadeiro Positivo (Acertou Churn)
22594,1,1,0.9988878020926173,Verdadeiro Positivo (Acertou Churn)
42219,1,1,0.8660671447472309,Verdadeiro Positivo (Acertou Churn)
17692,0,1,0.9680053438439796,Falso Positivo (Alarme Falso)
19642,1,1,0.9172892161453223,Verdadeiro Positivo (Acertou Churn)
46627,0,0,0.08712211899052764,Verdadeiro Negativo (Acertou Ativo)
36673,1,1,0.902397496505579,Verdadeiro Positivo (Acertou Churn)
45841,1,1,0.6220170725653636,Verdadeiro Positivo (Acertou Churn)
45659,1,0,0.1495807100173771,Falso Negativo (Churn Invisível)
46321,0,1,0.6172846948247666,Falso Positivo (Alarme Falso)
41444,1,1,0.5918732151376713,Verdadeiro Positivo (Acertou Churn)
9462,1,1,0.6858630513897727,Verdadeiro Positivo (Acertou Churn)
45499,1,1,0.9027159536711286,Verdadeiro Positivo (Acertou Churn)
15606,1,0,0.25543115468622807,Falso Negativo (Churn Invisível)
17368,0,0,6.403517948001937e-05,Verdadeiro Negativo (Acertou Ativo)
23649,1,1,0.9677021361367844,Verdadeiro Positivo (Acertou Churn)
42346,0,0,9.430847630868161e-16,Verdadeiro Negativo (Acertou Ativo)
44461,0,0,0.36754665764342986,Verdadeiro Negativo (Acertou Ativo)
26209,0,0,0.03718604391326545,Verdadeiro Negativo (Acertou Ativo)
27231,1,1,0.9019257456094955,Verdadeiro Positivo (Acertou Churn)
45298,1,1,0.6369356873161034,Verdadeiro Positivo (Acertou Churn)
36066,0,0,0.248031733965272,Verdadeiro Negativo (Acertou Ativo)
727,1,1,0.9759278028109293,Verdadeiro Positivo (Acertou Churn)
44976,1,1,0.8069566717729135,Verdadeiro Positivo (Acertou Churn)
44945,0,0,1.8905673228953423e-15,Verdadeiro Negativo (Acertou Ativo)
12584,1,1,0.9854757047097606,Verdadeiro Positivo (Acertou Churn)
45622,1,0,0.48393944180259835,Falso Negativo (Churn Invisível)
46514,0,0,0.0020109703267400312,Verdadeiro Negativo (Acertou Ativo)
24468,1,1,0.9282699981743775,Verdadeiro Positivo (Acertou Churn)
22484,1,1,0.5528561805446265,Verdadeiro Positivo (Acertou Churn)
42124,1,1,0.8035238627735509,Verdadeiro Positivo (Acertou Churn)
20910,1,0,0.3599981318065494,Falso Negativo (Churn Invisível)
45231,0,0,0.16836048475150686,Verdadeiro Negativo (Acertou Ativo)
45352,0,1,0.5793564569762845,Falso Positivo (Alarme Falso)
45251,1,1,0.7163233162926451,Verdadeiro Positivo (Acertou Churn)
18421,1,1,0.950304215669374,Verdadeiro Positivo (Acertou Churn)
697,1,1,0.9615162777144111,Verdadeiro Positivo (Acertou Churn)
10864,0,1,0.6901519641468911,Falso Positivo (Alarme Falso)
41551,1,1,0.8462063800003725,Verdadeiro Positivo (Acertou Churn)
41247,1,1,0.6403304263982433,Verdadeiro Positivo (Acertou Churn)
36641,1,1,0.9026523458673062,Verdadeiro Positivo (Acertou Churn)
46259,0,1,0.5776465364824532,Falso Positivo (Alarme Falso)
46848,1,0,0.07430155530553607,Falso Negativo (Churn Invisível)
3156,0,0,3.5108015924358935e-14,Verdadeiro Negativo (Acertou Ativo)
36218,1,1,0.9229054606450292,Verdadeiro Positivo (Acertou Churn)
24375,0,0,0.0022217452800609664,Verdadeiro Negativo (Acertou Ativo)
36204,0,1,0.6783191160792911,Falso Positivo (Alarme Falso)
3980,1,1,0.60022041473618,Verdadeiro Positivo (Acertou Churn)
45324,0,0,0.3708623697163686,Verdadeiro Negativo (Acertou Ativo)
37729,0,1,0.8344523294027869,Falso Positivo (Alarme Falso)
21598,0,0,6.821849809794117e-73,Verdadeiro Negativo (Acertou Ativo)
21235,1,1,0.91344597337302,Verdadeiro Positivo (Acertou Churn)
40999,0,0,0.0346360660481582,Verdadeiro Negativo (Acertou Ativo)
26281,1,1,0.794669352015303,Verdadeiro Positivo (Acertou Churn)
45163,1,1,0.5631107847557817,Verdadeiro Positivo (Acertou Churn)
16677,0,1,0.8234952262163403,Falso Positivo (Alarme Falso)
17304,0,0,4.2741547525988665e-06,Verdadeiro Negativo (Acertou Ativo)
36577,1,1,0.938340048525429,Verdadeiro Positivo (Acertou Churn)
44093,1,1,0.7001140751194855,Verdadeiro Positivo (Acertou Churn)
22037,0,1,0.7427288075852411,Falso Positivo (Alarme Falso)
37243,1,1,0.7241510735756124,Verdadeiro Positivo (Acertou Churn)
25724,1,1,0.9185086468307225,Verdadeiro Positivo (Acertou Churn)
44983,1,0,0.470866422247657,Falso Negativo (Churn Invisível)
25003,1,1,0.5371742775304065,Verdadeiro Positivo (Acertou Churn)
43301,0,1,0.560534769983561,Falso Positivo (Alarme Falso)
43315,1,1,0.7808056573008203,Verdadeiro Positivo (Acertou Churn)
23731,1,1,0.8344931757343261,Verdadeiro Positivo (Acertou Churn)
45647,0,0,1.7920904296440577e-07,Verdadeiro Negativo (Acertou Ativo)
23638,1,1,0.8415436637373505,Verdadeiro Positivo (Acertou Churn)
24591,1,0,0.004253107743598796,Falso Negativo (Churn Invisível)
39147,1,1,0.9636211773403756,Verdadeiro Positivo (Acertou Churn)
45563,1,1,0.5417707953304371,Verdadeiro Positivo (Acertou Churn)
17776,1,1,0.9588410327529232,Verdadeiro Positivo (Acertou Churn)
129,0,1,0.8700902640977954,Falso Positivo (Alarme Falso)
20530,1,0,0.34166970958275694,Falso Negativo (Churn Invisível)
38504,0,0,0.4177173351803192,Verdadeiro Negativo (Acertou Ativo)
43326,0,0,1.6009408259499346e-05,Verdadeiro Negativo (Acertou Ativo)
45953,1,0,0.4946815542063379,Falso Negativo (Churn Invisível)
9711,0,0,7.494970593757414e-14,Verdadeiro Negativo (Acertou Ativo)
21584,1,0,8.950099798992879e-06,Falso Negativo (Churn Invisível)
43517,0,0,0.4297152637794428,Verdadeiro Negativo (Acertou Ativo)
4468,0,0,0.4903216454836596,Verdadeiro Negativo (Acertou Ativo)
43832,1,1,0.6678772275916628,Verdadeiro Positivo (Acertou Churn)
9862,0,0,0.027220319658176242,Verdadeiro Negativo (Acertou Ativo)
46306,0,1,0.5832751243968775,Falso Positivo (Alarme Falso)
45538,1,0,0.469399477190522,Falso Negativo (Churn Invisível)
46012,0,1,0.5800107860012396,Falso Positivo (Alarme Falso)
42744,1,1,0.7134025941362129,Verdadeiro Positivo (Acertou Churn)
11010,0,0,6.700107207655229e-49,Verdadeiro Negativo (Acertou Ativo)
22358,1,1,0.9073786878897949,Verdadeiro Positivo (Acertou Churn)
44705,1,1,0.6005417081865493,Verdadeiro Positivo (Acertou Churn)
43566,0,0,0.3352829743866594,Verdadeiro Negativo (Acertou Ativo)
10115,1,1,0.9140989413574598,Verdadeiro Positivo (Acertou Churn)
9204,0,1,0.8629555205255254,Falso Positivo (Alarme Falso)
35709,1,1,0.9999961393051414,Verdadeiro Positivo (Acertou Churn)
26627,0,0,6.96002045616023e-20,Verdadeiro Negativo (Acertou Ativo)
46146,0,0,0.22726920673394016,Verdadeiro Negativo (Acertou Ativo)
45436,0,0,0.023774145592461483,Verdadeiro Negativo (Acertou Ativo)
23036,1,1,0.9167227035374169,Verdadeiro Positivo (Acertou Churn)
26365,1,1,0.9401343011738374,Verdadeiro Positivo (Acertou Churn)
45196,1,1,0.9228457378650131,Verdadeiro Positivo (Acertou Churn)
46200,0,0,2.98554521681416e-06,Verdadeiro Negativo (Acertou Ativo)
41265,1,1,0.7917336100293757,Verdadeiro Positivo (Acertou Churn)
42515,1,1,0.7169371405946332,Verdadeiro Positivo (Acertou Churn)
11550,1,1,0.942204441294157,Verdadeiro Positivo (Acertou Churn)
26434,1,1,0.5761680873801773,Verdadeiro Positivo (Acertou Churn)
46772,0,0,1.388212137938543e-10,Verdadeiro Negativo (Acertou Ativo)
16366,1,1,0.8865758201481914,Verdadeiro Positivo (Acertou Churn)
46579,1,1,0.630836746293617,Verdadeiro Positivo (Acertou Churn)
39526,1,1,0.8590998173677468,Verdadeiro Positivo (Acertou Churn)
